resource,addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,official-name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata,wikipedia
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Schools Commissioners Group,,,,government-organisation:OT1107,,,,,,https://www.gov.uk/government/organisations/schools-commissioners-group,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Estyn,,,,government-organisation:DA1105,,,,,,https://www.gov.uk/government/organisations/estyn,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,NHS Wales Informatics Service,,,,government-organisation:OT1104,,,,,,https://www.gov.uk/government/organisations/nhs-wales-informatics-service,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Natural Resources Wales,,,,government-organisation:OT1103,,,,,,https://www.gov.uk/government/organisations/natural-resources-wales,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Careers Wales,,,,government-organisation:OT1102,,,,,,https://www.gov.uk/government/organisations/careers-wales,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Welsh Language Commissioner,,,,government-organisation:OT1101,,,,,,https://www.gov.uk/government/organisations/welsh-language-commissioner,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Independent Complaints Reviewer,,,,government-organisation:OT1099,,,,,,https://www.gov.uk/government/organisations/independent-complaints-reviewer,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Single Source Regulations Office,,,,government-organisation:PB1093,,,,,,https://www.gov.uk/government/organisations/single-source-regulations-office,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Office of the Registrar of Consultant Lobbyists,,,,government-organisation:OT1091,,,,,,https://www.gov.uk/government/organisations/office-of-the-registrar-of-consultant-lobbyists,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,National Information Board,,,,government-organisation:OT1090,,,,,,https://www.gov.uk/government/organisations/national-information-board,,
